EngDispl|NumCyl|FE|NumGears|TransLockup|TransCreeperGear|IntakeValvePerCyl|ExhaustValvesPerCyl|VarValveTiming|VarValveLift
4.7|8|28.0198|6|1|0|2|2|1|0
4.7|8|25.6094|6|1|0|2|2|1|0
4.2|8|26.8|6|1|0|2|2|1|0
4.2|8|25.0451|6|1|0|2|2|1|0
5.2|10|24.8|6|0|0|2|2|1|0
5.2|10|23.9|6|0|0|2|2|1|0
2|4|39.7256|6|0|0|2|2|1|0
6|12|24.4|6|0|0|2|2|1|0
3|6|39.7103|6|1|0|2|2|1|1
3|6|38.7896|6|0|0|2|2|1|1
3|6|33.6296|7|1|0|2|2|1|0
3|6|35.2678|6|0|0|2|2|1|0
8|16|17.8|7|0|0|2|2|1|0
6.2|8|27.1|6|0|0|1|1|0|0
6.2|8|34.3493|6|1|0|1|1|0|0
6.2|8|35.8|6|0|0|1|1|0|0
7|8|33.7|6|0|0|1|1|0|0
8.4|10|30|6|0|0|1|1|1|0
8.4|10|30|6|0|0|1|1|1|0
4.5|8|24.3499|7|0|0|2|2|1|0
5.7|12|20.99|6|0|0|2|2|1|0
5.7|12|21.1|6|0|0|2|2|1|0
5.2|10|25.4|6|1|0|2|2|1|0
5.2|10|24|6|0|0|2|2|1|0
5.2|10|25.4|6|0|0|2|2|1|0
5.2|10|22.6|6|0|0|2|2|1|0
6.5|12|17.5|7|0|0|2|2|1|0
6.5|12|19.9|7|0|0|2|2|1|0
6.5|12|19.9|7|0|0|2|2|1|0
6.5|12|17.5|7|0|0|2|2|1|0
6.5|12|19.9|7|0|0|2|2|1|0
1.8|4|37.62|6|0|0|2|2|1|1
1.8|4|37.0028|6|0|0|2|2|1|1
2|4|38.9959|5|0|0|2|2|1|0
2|4|39|6|0|0|2|2|1|0
2|4|38.512|6|1|0|2|2|1|0
5.5|8|29.3|7|1|0|2|2|1|0
3|6|35.9|6|0|0|2|2|1|0
3.5|6|36.2|7|1|0|2|2|1|0
3.5|6|34.5|7|1|0|2|2|1|0
3.5|6|34.7927|6|0|0|2|2|1|0
5.5|8|30.8|7|1|0|2|1|1|0
1|3|57.8|5|1|0|2|2|1|0
1|3|57.8|5|1|0|2|2|1|0
3.7|6|35.9802|6|1|0|2|2|1|1
3.7|6|36.9|7|1|0|2|2|1|1
3.7|6|34.5832|7|1|0|2|2|1|1
3.7|6|34.9|6|0|0|2|2|1|1
2|4|37.5|5|1|0|2|2|1|0
2|4|40|5|0|0|2|2|1|0
2.4|4|33.6|5|1|0|2|2|1|0
2.4|4|36.4|5|0|0|2|2|1|0
3.8|6|28.5532|6|0|0|2|2|1|1
3.8|6|27.372|6|0|0|2|2|1|1
2.9|6|37.3296|6|0|0|2|2|1|1
2.9|6|41.3608|7|0|0|2|2|1|1
3.4|6|36.7299|6|0|0|2|2|1|1
3.4|6|40.9978|7|0|0|2|2|1|1
2.9|6|37.3296|6|0|0|2|2|1|1
2.9|6|41.3608|7|0|0|2|2|1|1
3.4|6|36.7299|6|0|0|2|2|1|1
3.4|6|40.9978|7|0|0|2|2|1|1
2|4|37.5|5|1|0|2|2|1|0
2|4|40|5|0|0|2|2|1|0
2.4|4|36.4|5|0|0|2|2|1|0
2.4|4|33.6|5|1|0|2|2|1|0
4.2|8|27.471|6|1|0|3|2|1|0
5.9|12|23.6523|6|1|0|2|2|0|0
5.9|12|27.2408|6|1|0|2|2|0|0
5.9|12|22.9258|6|1|0|2|2|0|0
5.9|12|24.6983|6|1|0|2|2|0|0
4.3|8|26.1157|7|0|0|2|2|1|0
5|8|32.8808|6|1|0|2|2|1|1
5|8|30.3378|6|1|0|2|2|1|0
5|8|30.8027|6|1|0|2|2|1|1
4.3|8|31.6|6|1|0|2|2|1|0
3.5|6|35.5|6|0|0|2|2|1|0
1.6|4|51.6555|6|0|0|2|2|1|1
1.6|4|47.2025|6|1|0|2|2|1|1
1.6|4|52|6|0|0|2|2|1|1
1.6|4|47.2025|6|1|0|2|2|1|1
1.6|4|44.5714|6|1|0|2|2|1|0
1.6|4|47.7592|6|0|0|2|2|1|0
1.6|4|44.5714|6|1|0|2|2|1|0
1.6|4|47.7592|6|0|0|2|2|1|0
1.6|4|46.5047|6|0|0|2|2|1|1
1.6|4|46.5047|6|0|0|2|2|1|1
2.4|4|36.2628|4|1|0|2|2|0|1
3.8|6|33.2|5|1|0|2|2|0|1
3.6|6|35.2427|6|0|0|2|2|1|1
3.6|6|37.6908|7|0|0|2|2|1|1
3.6|6|34.8754|6|0|0|2|2|1|1
3.6|6|36.7563|7|0|0|2|2|1|1
3.6|6|34.8754|6|0|0|2|2|1|1
3.6|6|36.4395|7|0|0|2|2|1|1
3.6|6|34.8754|6|0|0|2|2|1|1
3.6|6|36.4395|7|0|0|2|2|1|1
3.8|6|34.5148|6|0|0|2|2|1|1
3.8|6|36.013|7|0|0|2|2|1|1
3.8|6|34.5148|6|0|0|2|2|1|1
3.8|6|37.0769|7|0|0|2|2|1|1
3.8|6|34.5148|6|0|0|2|2|1|1
3.8|6|37.0769|7|0|0|2|2|1|1
3.6|6|35.2427|6|0|0|2|2|1|1
